std			prog		src2
, 965297	/ 965297	. 180306 
. 844365    . 844365    ; 125030
- 232142    ( 232142    / 122399
" 220181    ) 220181    ) 119330
_ 214673    * 214673    ( 119307
' 214497    ; 214497    = 103923
) 184328    = 184328    " 72420
( 183551    " 183551    _ 69665
; 171181    : 171181    * 60588
= 90720     , 90720     - 54555
: 86682     { 86682     , 53855
/ 68010     } 68010     : 53126
* 61493     < 61493     } 39023
! 53555     - 53555     { 39013
? 50660     > 50660     < 35326
$ 47251     _ 47251     > 30079
> 43810     & 43810     & 14778
{ 38610     + 38610     + 13156
} 38479     ' 38479     [ 8613
[ 33175     # 33175     ] 8613
] 33080     ! 33080     # 7883
\\ 23359    [ 23359     ! 7246
+ 19386     ] 19386     ' 4859
| 17895     \\ 17895    \\ 3009
& 17193     | 17193     | 2956
< 14834     % 14834     $ 1375
% 13677     ^ 13677     ? 1113
@ 11315     $ 11315     % 588
# 9970      ? 9970      ~ 353
^ 3293      ~ 3293      @ 128
` 2270      @ 2270      ^ 36
~ 2220      ` 2220      ` 22

